Genre,Name,Author,Lvl.nov,Lvl.adv,Lvl.exh,Lvl.inf/grv/hvn/vid/xcd/mxm
"BEMANI","αρχη","Dormir",6,13,15,18
"BEMANI","うさぬこぬんぬんファンタジー！","ARM(IOSYS) feat. 普透明度",5,11,14,17
"BEMANI","ΕΛΠΙΣ","dj TAKA",5,11,17
"BEMANI","ENDYMION","fallen shepherd ft. RabbiTon Strings",7,14,17,19
"BEMANI","鬼天","兎々",6,12,17
"BEMANI","蛇神","Zektbach",6,13,16,18
"BEMANI","Sakura Mirage","Ryu☆",6,12,17
"BEMANI","シュレーディンガーの猫","Cait Sith",7,14,17,19
"BEMANI","New Decade","Sota F.",6,12,15,18
"BEMANI","Nebulas","BEMANI Sound Team "Yvya"",6,13,16,18
"BEMANI","Harmonia","ATSUMI UEDA",5,11,14,17
"BEMANI","BabeL ～Next Story～","Power Of Nature",5,10,17
"BEMANI","卑弥呼","朱雀 VS 玄武",7,14,17,19
"BEMANI","BLAZE∞BREEZE","BEMANI Sound Team "TAG×PON"",5,12,15,17
"BEMANI","m1dy Deluxe","m1dy",6,13,16,18
"ひなビタ♪/バンめし♪","イエルウタ","ここなつ2.0",3,9,13,16
"ひなビタ♪/バンめし♪","カシオペアノヒカリ","ここなつ2.0",2,11,14,17
"ひなビタ♪/バンめし♪","キズナ","東雲心菜 Produced by 上村香月",3,8,13
"ひなビタ♪/バンめし♪","ステラレギア","ここなつ2.0",4,11,14,17
"ひなビタ♪/バンめし♪","双星ルミネセンス","一舞 ＆ 夏陽",4,10,16
"ひなビタ♪/バンめし♪","ハートシェイプ・スピカ","ここなつ2.0",5,12,15,17
"ひなビタ♪/バンめし♪","マーメイドペレパスィ","ここなつ2.0",3,10,13,16
"ひなビタ♪/バンめし♪","メモリーズ","ここなつ2.0",5,12,15,17
"ひなビタ♪/バンめし♪","闇夜舞踏会 -緋碧と蝶のためのmasquerade-","ここなつ Produced by あおいひと with イオ",4,9,16
"ひなビタ♪/バンめし♪","ロンロンへ　ライライライ！","ここなつ",4,10,16,17
"동방 어레인지","愛くるしフール -Not EASY!!-","2ボス如きに負けるかぼちゃではなｙうわー",4,10,15
"FLOOR","Absurd Gaff (Metallize Remix)","Metal Giant",7,14,17,19
"SDVX 오리지널","APØCALYPSE RAY","xi",8,15,18,20
"SDVX 오리지널","Undead Raving Scare","RoughSkreamZ",7,14,17,19
"SDVX 오리지널","and After the Merry BADEND","polysha",7,14,17,19
"FLOOR","うぇるかむ -||祭みっくす||-","忠兵衛",6,13,16,18
"동방 어레인지","Venona","DOUBLE HELIX【たちのん&零-zero-】",3,10,15
"SDVX 오리지널","ΣMERGENCY CODΣ","概念",6,13,16,18
"SDVX 오리지널","Enter The Rave","Tatsunoshin",5,13,16,18
"BEMANI","Empathetic","Sota÷Des",6,11,13,17
"BEMANI","Caldwell 99","BlackY",6,13,16,18
"BEMANI","QQ","BEMANI Sound Team "PHQUASE & ZAQUVA"",7,14,17,19
"BEMANI","Chloé","DJ Totoriott",4,11,16
"FLOOR","劇場版ムーニャポヨポヨスッポコニャーゴ~侵略だいず帝国！ドラマティック宇宙大戦争~","打打だいず",6,13,16,18
"BEMANI","The First Step","Yooh",4,11,14,17
"SDVX 오리지널","SHARK IMPACT","ryhki",6,13,16,18
"BEMANI","Synergy For Angels","TAG×U1-ASAMi",5,12,14,17
"동방 어레인지","Shirogane","nmk vs b-UMB feat.青砥 雫 a.k.a. ℃iel",3,8,14
"SDVX 오리지널","十三不塔","隣の卓は役満(庭師+Aoi)",6,13,16,18
"FLOOR","The EXworld of sound","Remix by Aoi, Vocal by Kuroa*",6,13,16,18
"동방 어레인지","Scarlet Moon","REDALiCE feat. Ayumi Nomiya",4,10,16
"BEMANI","Stylus","BEMANI Sound Team "HuΣeR"",6,13,16,18
"SDVX 오리지널","Spectacular“V”Adventure!","Enterskip",7,14,17,19
"동방 어레인지","spectroscape","kuroburger",4,10,16
"BEMANI","世界の果てに約束の凱歌を -VOLTEX Mix-","BEMANI Sound Team "Sota Fujimori"",5,12,15,18
"FLOOR","Zero-Day Exploit(One-Day Fusion Mix)","庭師",6,12,15,18
"FLOOR","Distorted Floor -Boosted-","M-UE vs. siromaru",6,13,16,18
"FLOOR","トーキョーサマーナイト（華金Remix）","あまみ×ひなみ",4,12,14,17
"동방 어레인지","NEON WORLD","SOUND HOLIC feat. Nana Takahashi",3,10,17
"동방 어레인지","花ノ下連歌","Jan★Key",4,11,16
"BEMANI","ビビットストリーム","DJ TOTTO",4,10,13,16
"FLOOR","Pixelated Platform (Super Honey!)","そよもぎ",5,12,15,17
"BEMANI","Fly far bounce","猫叉Master",5,11,13,17
"동방 어레인지","Frantic Wolf","Jerico",4,10,14
"SDVX 오리지널","BLISS","ミハイル + K.key",5,13,16,18
"SDVX 오리지널","Breakneck Pursuit","Ashrount",7,14,17,19
"동방 어레인지","プレインエイジア -PHQ remix-","PHQUASE",4,10,16
"SDVX 오리지널","HeaveИ's Rain","モリモリあつし",8,15,18,20
"동방 어레인지","ほおずき程度には赤い頭髪","Akhuta",5,11,17
"동방 어레인지","MAGATORO","上村香月",4,10,16
"SDVX 오리지널","Marielle","ゆんゆん",6,13,16,18
"FLOOR","Μοῦσα","ushiee",5,12,15,17
"BEMANI","ユメブキ","紫崎 雪,Risa Yuzuki,709sec. by BEMANI Sound Team "PHQUASE & SYUNN"",6,13,16,18
"동방 어레인지","Russet","wellow",4,10,16
"BEMANI","ラブキラ☆スプラッシュ","BEMANI Sound Team "Sota F." feat.いちか",4,10,14,17
"SDVX 오리지널","リュミレイラ","後藤 feat. nayuta",5,13,16,18
"BEMANI","累乗のカルマ","めと（Metomate）",5,13,16,18
"동방 어레인지","Lunatic Rough Party!!","かめりあ",4,10,15
"BEMANI","ロプノールの商隊","Akhuta",6,12,14,17
"BEMANI","分けるな危険！モモモモモモーイズム","ARM×狐夢想 feat. 桃井はるこ",5,11,14,17
"SDVX 오리지널","忘れないように、失くさないように","Mono.",5,13,16,18
"동방 어레인지","Ultimate Fury","Arch vs n3pu",5,10,16
"동방 어레인지","桜華月想-SDVX EDIT-","源屋 feat. 3L",2,8,12
"FLOOR","snow motion","こふ",4,8,13
"VOCALOID","ドキドキ☆流星トラップガール!!","流星トラップボーイズ",3,8,13
"FLOOR","Re:call","pan+meal feat.駄々子",5,12,14,17
"BEMANI","ARACHNE","MAX MAXIMIZER",6,13,16,18
"BEMANI","WICKeD CRφSS","OSTER project",6,12,15,17
"BEMANI","梅雪夜","Qrispy Joybox feat.mao",3,11,14,17
"BEMANI","Aerial Skydive","Dirty Androids",5,12,15,17
"BEMANI","quaver♪","Risk Junk",6,13,16,18
"BEMANI","CLAMARE","MAX MAXIMIZER",7,14,17,19
"BEMANI","Crystalia","DJ TOTTO",6,13,16,18
"BEMANI","Crazy Jackpot","Hommarju",5,12,15,18
"BEMANI","黒紅掬い","猫叉Master feat.霜月はるか",4,12,15,17
"BEMANI","SPECIAL SUMMER CAMPAIGN!","Lucky Vacuum",5,13,16,18
"BEMANI","FUJIMORI -祭- FESTIVAL","VENUS",3,11,14,17
"BEMANI","Flip Flap","kors k",4,11,14,17
"BEMANI","Black or Red?","コスモドライバー join. shully & Nimo",5,12,15,17
"BEMANI","Poochie","kors k",6,13,16,18
"BEMANI","リリーゼと炎龍レーヴァテイン","黒猫ダンジョン",6,13,16,18
"FLOOR","Splash Underwater","siqlo",5,12,14,17
"동방 어레인지","Cirno Break","さわわ",5,10,16
"FLOOR","Diffused Reflection","ニシジマユーキ",3,10,12
"VOCALOID","further the future","上村香月",4,8,15
"동방 어레인지","REVERSE LIMITED!(SDVX Edit)","MUZIK SERVANT feat.CHERICa",5,11,16
"BEMANI","Survival Games (Hommarju Remix)","Hommarju",3,9,13
"VOCALOID","shiny rainbow flower","C-YA",5,10,15
"동방 어레인지","Mist Tek","you",4,9,16
"FLOOR","Re:Rose Gun Shoooot!","あるふぁ",6,12,15,17
"동방 어레인지","Lunartic Dial","Shiron",4,10,16
"FLOOR","紅の剣舞","かねこちはる",6,12,17
"동방 어레인지","THUNDERCRACK","IRON ATTACK!",5,11,17
"FLOOR","Shadows in the Light","Sta",3,9,13
"FLOOR","Shanghai Wu Long ～上海舞龍～","Hommarju",5,11,17
"동방 어레인지","スカーレット警察のゲットーパトロール24時","七条レタスグループ",4,11,15,18
"동방 어레인지","SPARKING 2012","IRON ATTACK!",4,10,15
"VOCALOID","隅田川夏恋歌 (I/O Angel mix)","Daisuke Ohnuma(大福P)",3,8,12
"동방 어레인지","天弓天華オトハナビ","ビートまりおとまろん",5,12,16,18
"동방 어레인지","デンデラパーティーナイト","森羅万象",5,11,15,17
"동방 어레인지","PRESERVED VAMPIRE","SOUND HOLIC feat. Nana Takahashi",5,12,15,17
"동방 어레인지","LUCKY CAT","ちょこふぁん",3,11,14,17
"동방 어레인지","Love Love Scarlet","イノライfeat.怜花",4,11,14,17
"VOCALOID","wound","KEENO",3,8,11
"BEMANI","凛として咲く花の如く","大神ミオ",3,11,14,17
"FLOOR","Ice Fortress","荒谷サトル",6,12,15,18
"FLOOR","アルファ・スカイ","みーに feat. しろさきあや",4,13,15,17
"FLOOR","イグノアザーズ","U-ske feat. 安土桃",6,12,15,18
"FLOOR","いでぃおで結構！","諸星なな feat.加藤はるか",4,12,14,17
"FLOOR","Initiating League","EmoCosine vs. nora2r",6,13,16,18
"FLOOR","WINNING ROAD","setu-O",6,12,15,18
"FLOOR","ENDGAME","Yuta Imai",6,13,16,18
"FLOOR","All We Need is HAPPY END!!!","polysha",7,14,17,19
"FLOOR","赫焉のヴァルキュリア -Ragnarøk-","ryhki",7,14,17,19
"FLOOR","CadenzaMaiden","u-z feat.紫咲ほたる",5,12,16,18
"FLOOR","CUDDLIE CUDDLIE","ゆんゆん",5,12,15,17
"FLOOR","Garland","ミハイル + K.key",6,12,15,18
"FLOOR","機械仕掛けの魔法使い","Tsubusare BOZZ feat.madoka*",4,11,14,17
"FLOOR","Glory of Fighters","RoughSkreamZ",7,14,17,19
"FLOOR","最果ての勇者にラブソングを","deli.+駄々子",6,13,16,18
"FLOOR","Thousand Triggers","めと（Metomate）",6,13,16,18
"FLOOR","SuddeИDeath","xi vs. モリモリあつし",8,15,18,20
"FLOOR","灼ナル刃、破カヰ譜","Symholic feat.狛茉璃奈",6,12,15,18
"FLOOR","Chat perché","Ange;art + Nota",6,13,16,18
"FLOOR","Juωpscare!!","coTatsu",6,12,15,18
"FLOOR","Scat Jazz Dance","Super Shrimp",5,12,16,18
"FLOOR","S(TAR)²☆pistol","Mono.",6,13,16,18
"FLOOR","ステラ・イミグレーション","後藤 feat. リリカ",5,12,15,17
"FLOOR","Second Game","Tracy feat. miko",5,11,14,17
"FLOOR","天穹のアルカナビット","打打だいず + Tanchiky + siromaru",6,13,16,18
"FLOOR","D.I.X.","日夜すずり feat. 凜々",6,13,16,18
"FLOOR","DEUX EX MĀXHINĀ","Ashrount",7,14,17,19
"FLOOR","trea→journey","CHUBAY",6,14,16,18
"FLOOR","ИADIR","Ashrount vs polysha",6,13,16,18
"FLOOR","ハッピーエンド","technoplanet feat. Kuroto Sion",6,13,16,18
"FLOOR","Paradigm Shift","あまみ×ひなみ",6,13,16,18
"FLOOR","For.*tune","Capchii × low meow × Uzumaki",5,11,14,17
"FLOOR","Fl0ating:","yuichi NAGAO",6,12,15,18
"FLOOR","Brave Power Leader 《 = Voltage = 》","概念",6,13,16,18
"FLOOR","Petit espoir","しーけー",6,13,16,18
"FLOOR","PRIDE of the FIREBALL","かぼちゃ feat. CO-DA",5,12,15,17
"FLOOR","HALO","Tatsunoshin",7,14,17,19
"FLOOR","MILITARY R04D","Enterskip",7,14,17,19
"FLOOR","MURASAME","Hommarju",6,11,16,18
"FLOOR","零天視","隣の庭は青い(庭師+Aoi)",6,13,16,18
"FLOOR","I Left for my Right","あの日字数制限に負けて追い出された「ゃ」",5,12,15,17
"SDVX 오리지널","Avalanx","隣の庭は青い(庭師+Aoi)",7,14,17,19
"FLOOR","Across the Starlight","かゆき",6,13,16,18
"SDVX 오리지널","いまきみに","Silentroom as "少年R"",8,15,18,20
"FLOOR","Imperator","Xe (αirlemoneX)",6,13,16,18
"FLOOR","運命超過乃巡合","Aoi feat. Gra+yanshu",5,12,14,17
"동방 어레인지","ancient garden","Cororo",4,9,16
"FLOOR","ØƵ","Hommarju ft. Mayumi Morinaga",6,14,16,18
"SDVX 오리지널","赫焉","打打だいず vs. siromaru",7,14,17,19
"SDVX 오리지널","極夜、暁を望んで","めと(Metomate)",6,13,16,18
"FLOOR","QUAKE","Polyphonix",4,11,14,17
"동방 어레인지","Clash of swords","Noah",6,12,17
"SDVX 오리지널","Grandeur","CANVAS x RoughSketch feat. Quimär",6,13,16,18
"SDVX 오리지널","光風霽月","影虎。",6,13,16,18
"FLOOR","Corrupting Wonderland","u-z feat.CHERICa",6,12,15,18
"FLOOR","Continuous Moment","影虎。",5,12,15,17
"FLOOR","サクラノソバニ！","Ray_Oh feat.みかん汁",5,12,15,17
"FLOOR","SHARK ATTACK","ryhki",6,12,16,18
"동방 어레인지","S1CK_F41RY","HOUJIROU",5,11,17
"FLOOR","紫焔双穿","かめりあ",7,14,17,19
"FLOOR","神罰","cosMo＠暴走P",6,13,16,18
"SDVX 오리지널","STIGMA","U-ske feat. 棗いつき",6,13,16,18
"SDVX 오리지널","Stairway to the sun","Noah",6,13,16,18
"FLOOR","Struggle for Revival","NitoK",5,12,15,17
"SDVX 오리지널","すべてが幻になった後で","かめりあ・超機装幻楽隊",7,14,17,19
"FLOOR","Zero-Day Exploit","Trerey-U",6,11,17
"FLOOR","charm♡you","U-ske feat.花柚",4,11,15,17
"FLOOR","Chakra","uma",4,11,14,17
"FLOOR","チクサクコールが懐かしい","諸星なな feat.加藤はるか",5,12,15,17
"FLOOR","Twin Rocket","uno feat.ちよこ(IOSYS)",5,11,17
"FLOOR","Discloze","lapix",5,10,17
"동방 어레인지","Deadly Dolly Dance","Shiron",6,12,17
"FLOOR","Twinkle Rookie","Halv",6,12,15,18
"동방 어레인지","常夏！！クリスタライズ・シャーベット","Ayatsugu_Otowa",5,11,17
"FLOOR","涙の女神と無形のエトワル","Yu-dachi",6,13,16,18
"FLOOR","二分間の世界","Cororo",6,13,16,18
"FLOOR","NEON LOVE♥POTION!!!","パイタン",5,11,14,17
"동방 어레인지","NECRO PARTY","VALLEYSTONE vs udouddo",5,11,16
"FLOOR","Never Ending Future","#EmoCosine",6,13,16,18
"FLOOR","NOT YOUR IDOL","Yuta Imai",6,13,16,18
"FLOOR","Happy Sensation","IckPo",5,11,17
"FLOOR","Hydroblast","Aoi vs. siromaru",6,12,15,18
"SDVX 오리지널","VΛZiLiSQ","BlackY",7,14,17,19
"FLOOR","Heroine is here","クルトン feat.ケィニ",4,11,14,16
"FLOOR","フェアリーテイル・ラヴァーズ","みーに＠メルヘン風紀委員会書記",5,12,15,17
"SDVX 오리지널","Fαtα∠ Ent∠mEnt","CHUBAY",7,14,17,19
"FLOOR","PHOTON BLAXT","seatrus",6,12,15,18
"SDVX 오리지널","Bl∞min'","MisoilePunch♪ -Forever-",8,15,18,20
"동방 어레인지","Mayohiga Spurt","さわわ",5,11,17
"FLOOR","夢幻泡影","wa.",6,12,15,18
"FLOOR","メテオライツ・プレリュード","みーに",5,11,14,17
"동방 어레인지","柳の下のデュラハン hard chaos mix","albel.",6,12,17
"FLOOR","勇者の卒業式","Verdammt",4,11,14,17
"FLOOR","ユキバレ＊ぱれいど","coTatsu",4,11,14,16
"동방 어레인지","Little princess has no identity.","0kash",5,11,17
"FLOOR","黎明の情","TAKU1175 ft.駄々子",5,12,14,17
"FLOOR","REGALIA","Riz",6,12,17
"SDVX 오리지널","LaμreLs ~the Angelus~","Ashrount",7,14,17,19
"SDVX 오리지널","Lost Parliament","Juggernaut.",6,13,16,18
"FLOOR","ROZELCIA","brz1128",6,13,16,18
"BEMANI","Amazing Mirage","lapix",5,12,15,18
"BEMANI","Element of SPADA","猫叉Master feat.霜月はるか",5,11,14,17
"BEMANI","KAMAITACHI","DJ TECHNORCH fw. GUHROOVY",6,13,16,18
"BEMANI","Chewingood!!!","TORIENA",5,12,15,17
"BEMANI","ディスコルディア","ぺのれり vs. BEMANI Sound Team "HuΣeR"",7,14,17,19
"BEMANI","2 Beasts Unchained","kors k vs Yooh",7,14,17,19
"BEMANI","ピアノ協奏曲第１番”蠍火”","virkato",7,14,17,19
"BEMANI","Verflucht","Tyrfing",6,13,16,18
"BEMANI","Fegrix","Xceon vs DJ Command (Eurobeat Union)",6,13,16,18
"BEMANI","Follow Tomorrow","HHH×MM×ST",4,10,14,17
"BEMANI","Please Welcome Mr.C","C-Show",6,13,16,18
"BEMANI","One More Lovely","Risk Junk",7,14,17,19
"FLOOR","Archangelio","Juggernaut.",6,13,16,18
"FLOOR","Aqua,Luna-rium","凛々咲",3,10,13,16
"BEMANI","ABSOLUTE(ismK passionate remix)","ismK",4,12,15,17
"FLOOR","Unleashed Redness","DecisionS (kanone + nora2r)",6,13,16,18
"BEMANI","Impress(siqlo's Hi-Tech Veats)","siqlo",5,11,14,17
"FLOOR","End of Guilty","kanone",6,12,16,18
"BEMANI","onslaught -Retaliation of Bahamūt-","かめりあ",7,14,17,19
"FLOOR","神にした彼女が示す世界線","上村香月",6,13,15,17
"FLOOR","恋は君のそばでサクラサク","榮田一貴 feat.冬乃桜＆永久毎日",3,10,13,16
"FLOOR","Going My Future!","#EmoCosine",6,13,16,18
"FLOOR","Xymatic Scope","MasKaleido feat. ぁゅ",5,12,15,17
"FLOOR","The King Of Red","Hommarju",6,13,16,18
"FLOOR","XXanadu#climaXX","概念",6,13,16,18
"FLOOR","Decadence Mission","Jerico",6,13,16,18
"BEMANI","ナナホシのうた","Retropolitaliens(Ms.+駄々子)",3,10,14,16
"FLOOR","爆烈歓迎♪エクストリーム飲茶旋風脚ッ!!","BlackY feat. Risa Yuzuki",6,13,16,18
"FLOOR","party:stage","かゆき",6,12,16,18
"FLOOR","Bigbang Faker","BlackY",6,13,16,18
"FLOOR","FAR GONE","493Water",6,13,16,18
"BEMANI","Blue Forest(NightBounce Remix)","kanone",4,10,14,17
"FLOOR","Holy Trail","satie",7,13,16,19
"동방 어레인지","Voltage Higher","A-One",5,10,14,17
"FLOOR","まみむめ🍄まるっと🍄まっしゅるーむ🍄🍄","かめりあ as "まいたけラヴ" feat. ななひら as "エリンギ大好き"",5,13,15,18
"FLOOR","Memory Flow","兎波かなで feat.とうな",6,13,15,18
"FLOOR","M-O-R-F-I-N-E","u-z feat.紫咲ほたる",5,12,15,17
"SDVX 오리지널","You Are My Best RivaL!!","cosMo＠暴走P",7,15,18,20
"FLOOR","Rapsodia d'amore","xi",7,14,17,19
"BEMANI","Leviathan","山本真央樹",6,13,16,18
"FLOOR","Restless Waitress","winddrums",6,13,16,18
"FLOOR","WILD FIRE","がるる",4,12,14,17
"BEMANI","アガット","Bazole",6,13,16,18
"BEMANI","Welcome to the Mosh Pit","lapix",5,12,15,18
"BEMANI","[E]","dj MAX STEROID",5,11,14,17
"BEMANI","少年リップルズ","常盤ゆう",6,13,16,18
"FLOOR","蝕","めと（Metomate）",6,13,16,18
"FLOOR","十の試煉","打打だいず vs. siromaru",7,14,17,19
"FLOOR","Xb10r","隣の庭は青い(庭師+Aoi)",7,14,17,19
"FLOOR","火狐之舞","影虎。",6,13,16,18
"FLOOR","MixxioN","MisoilePunch♪",8,15,18,20
"FLOOR","Rhapsody ⚙f Triumph","かめりあ・超機裝旋楽隊",7,14,17,19
"FLOOR","refluxio","Juggernaut.",6,13,16,18
"FLOOR","EncorE & cALL","CHUBAY",7,14,17,19
"FLOOR","Wings to fly high","Noah",6,13,16,18
"FLOOR","AIM HIGHER","U-ske feat. 棗いつき",6,13,16,18
"FLOOR","All for One","CANVAS feat. Quimär",6,13,16,18
"FLOOR","AμreoLe ~for Triumph~","Ashrount",7,14,17,19
"FLOOR","XHRONOXAPSULΞ","Silentroom",8,15,18,20
"FLOOR","ZEUS","BlackY",7,14,17,19
